Iteration,Reward,Cost_Rate,Lambda,Tx_Cost,Comp_Time
0,-12505.95,0.17222222222222222,1.0000722222222223,6690.791,85.58055555555555
1,-14329.147179260233,0.1808823529411765,1.0001531045751635,6662.4697,87.41323529411765
2,-14583.228812692636,0.17980769230769234,1.0002329122674711,6388.6753,87.96153846153847
3,-14562.738214895726,0.1807142857142857,1.0003136265531853,6058.692,88.33571428571429
4,-14895.345484227648,0.18139534883720929,1.0003950219020226,5791.2876,89.14302325581394
5,-15205.584514268432,0.18150000000000002,1.0004765219020226,5775.58,89.23200000000001
6,-15708.079407153098,0.18333333333333332,1.000559855235356,5675.656,90.00131578947368
7,-16028.637335862315,0.18359375,1.0006434489853562,5553.856,90.822265625
8,-16496.726541571396,0.18428571428571427,1.000727734699642,5532.8765,91.12857142857142
9,-16711.00997458795,0.1844155844155844,1.0008121502840575,5433.014,91.68733766233765
10,-17029.770812398012,0.18554216867469875,1.0008976924527322,5361.353,92.37680722891565
11,-17313.11866720665,0.18666666666666665,1.0009843591193988,5255.432,93.05472222222221
12,-17741.737225302273,0.1871052631578947,1.0010714643825567,5217.7837,93.52105263157895
13,-17705.975222397516,0.18698979591836734,1.001158454178475,5174.5425,93.34311224489798
14,-18051.52098267218,0.18849999999999997,1.001246954178475,4977.2124,93.8415
15,-18278.981347555906,0.18849999999999997,1.001335454178475,4873.2603,94.265
16,-18481.622091336885,0.18874999999999997,1.0014242041784749,4684.7217,94.492
17,-18949.55360233111,0.18949999999999995,1.001513704178475,4609.1924,95.11925
18,-19539.503026766557,0.19149999999999998,1.0016052041784749,4524.3545,95.94874999999998
19,-19551.337042384082,0.19174999999999995,1.0016969541784748,4435.2617,95.88775000000004
20,-19735.4084642349,0.19149999999999995,1.0017884541784747,4322.395,95.8635
21,-19987.397936069647,0.19199999999999995,1.0018804541784747,4263.1235,96.09624999999998
22,-19938.217628485327,0.19274999999999995,1.0019732041784748,4111.2817,96.13775
23,-20079.805703096536,0.19249999999999998,1.0020657041784748,4015.521,96.24175000000001
24,-20102.826444745908,0.19274999999999998,1.002158454178475,3950.795,96.116
