Iteration,Reward,Cost_Rate,Lambda,Tx_Cost,Comp_Time
0,-169.57028,0.13749999999999996,1.0,1085.0002,29.2875
1,-165.66261,0.13333333333333333,1.0,1054.2336,27.654166666666665
2,-162.06355,0.13124999999999998,1.0,1047.7826,27.15
3,-158.05946,0.13541666666666666,1.0,1022.81903,27.01458333333333
4,-155.8961,0.134375,1.0,1025.1271,26.596875
5,-153.67099,0.14125000000000001,1.0,1002.16077,26.213749999999997
6,-151.3229,0.13695652173913045,1.0,997.3897,25.98913043478261
7,-147.9224,0.13928571428571426,1.0,968.04285,25.654464285714287
8,-146.19592,0.13951612903225805,1.0,957.28815,25.437096774193552
9,-144.87233,0.14000000000000004,1.0,950.4464,25.255
10,-141.96361,0.136875,1.0,938.7928,25.095
11,-139.7389,0.1346590909090909,1.0,928.4563,24.847159090909088
12,-138.15303,0.134375,1.0,920.47925,24.675520833333334
13,-136.10884,0.13443396226415097,1.0,907.174,24.444811320754717
14,-134.67668,0.1336206896551724,1.0,901.5858,24.306465517241378
15,-133.07724,0.1310483870967742,1.0,897.29816,24.10927419354838
16,-132.30055,0.1318181818181818,1.0,890.75323,24.007196969696963
17,-130.39713,0.12887323943661969,1.0,885.2386,23.864436619718305
18,-129.06467,0.12796052631578944,1.0,880.70105,23.730263157894736
19,-128.28342,0.1275,1.0,878.8613,23.6496875
20,-127.486946,0.12738095238095237,1.0,875.2952,23.576488095238094
21,-125.88536,0.12444444444444445,1.0,873.4223,23.36138888888889
22,-125.02696,0.12420212765957447,1.0,869.7741,23.23643617021277
23,-124.11341,0.12475,1.0,864.97107,23.125
24,-121.27209,0.12275,1.0,854.0251,22.789999999999996
25,-118.264404,0.12175000000000001,1.0,842.03796,22.420749999999998
26,-116.880035,0.12225000000000001,1.0,834.94604,22.241999999999997
27,-114.38317,0.11925000000000001,1.0,828.7383,22.032250000000005
28,-113.30793,0.11975000000000001,1.0,823.88947,21.881250000000005
29,-111.544235,0.11725000000000002,1.0,822.0962,21.6365
30,-110.53021,0.11725,1.0,817.7488,21.5205
31,-109.81773,0.11875,1.0,814.4479,21.30325
32,-109.05158,0.11925000000000001,1.0,811.8189,21.183500000000002
33,-108.56845,0.11925000000000001,1.0,813.3234,21.041749999999997
34,-107.7532,0.118,1.0,813.56165,20.929250000000003
35,-107.34018,0.11849999999999998,1.0,813.28516,20.828500000000005
36,-106.45047,0.1175,1.0,813.5895,20.688499999999998
